,87
0,-5.4
1,-0.5000000000000003
2,-8.6
3,-8.600000000000001
4,-7.800000000000001
5,-6.9
6,-5.4
7,-7.7
8,-9.200000000000001
9,-2.1
10,-8.600000000000001
11,-9.4
12,-6.1
13,-7.200000000000001
14,1.5999999999999999
15,-6.9
16,-3.5
17,-8.4
18,-7.800000000000001
19,-6.0
20,-6.5
21,-1.7
22,-1.0999999999999999
23,-1.4
24,-5.6000000000000005
25,0.5999999999999996
26,2.7
27,2.1999999999999997
28,22.700000000000003
29,-4.2
30,-1.4000000000000001
31,2.5999999999999996
32,2.6999999999999997
33,-5.9
34,8.899999999999999
35,16.6
36,26.0
37,28.6
38,12.0
39,27.7
40,21.999999999999996
41,20.6
42,65.89999999999999
43,49.800000000000004
44,45.800000000000004
45,71.39999999999999
46,28.4
47,19.599999999999998
48,52.3
49,58.30000000000001
50,48.400000000000006
51,68.00000000000001
52,28.400000000000002
53,46.800000000000004
54,46.60000000000001
55,62.5
56,32.29999999999999
57,45.400000000000006
58,52.8
59,38.099999999999994
60,30.999999999999996
61,42.599999999999994
62,30.499999999999996
63,54.599999999999994
64,43.3
65,31.8
66,28.8
67,31.7
68,50.80000000000001
69,59.50000000000001
70,31.3
71,31.4
72,27.700000000000003
73,46.0
74,34.5
75,45.4
76,54.90000000000001
77,46.89999999999999
78,48.99999999999999
79,49.800000000000004
80,27.499999999999996
81,41.400000000000006
82,34.699999999999996
83,57.800000000000004
84,69.5
85,76.80000000000001
86,35.1
87,34.300000000000004
88,50.5
89,61.49999999999999
90,41.2
91,52.800000000000004
92,75.19999999999999
93,55.8
94,58.1
95,29.099999999999998
96,32.5
97,52.50000000000001
98,32.3
99,48.00000000000001
