,Score,Epslon,round
0,-53.9,28.000059140799998,0
1,-30.2,0.00017742240000000002,1
2,-23.5,0.00017742240000000002,2
3,-37.1,0.00017742240000000002,3
4,-23.4,0.00017742240000000002,4
5,-19.7,0.00017742240000000002,5
6,-19.9,0.00017742240000000002,6
7,-12.3,0.00017742240000000002,7
8,-21.3,0.00017742240000000002,8
9,-9.0,0.00017742240000000002,9
10,-21.9,0.00017742240000000002,10
11,-28.3,0.00017742240000000002,11
12,-25.0,0.00017742240000000002,12
13,-10.7,0.00017742240000000002,13
14,-25.5,0.00017742240000000002,14
15,0.2,0.00017742240000000002,15
16,-12.6,0.00017742240000000002,16
17,-11.2,0.00017742240000000002,17
18,-8.3,0.00017742240000000002,18
19,7.9,0.00017742240000000002,19
20,28.4,0.00017742240000000002,20
21,6.1,0.00017742240000000002,21
