,105
0,-4.0
1,-6.7
2,-6.1
3,-8.4
4,-6.800000000000001
5,-9.6
6,-6.600000000000001
7,-5.5
8,-6.0
9,-6.9
10,-5.800000000000002
11,-8.6
12,-5.0
13,-5.2
14,-5.6
15,-2.8000000000000003
16,-7.9
17,-6.5
18,-6.000000000000001
19,-6.799999999999999
20,-7.6000000000000005
21,-9.000000000000002
22,-2.3000000000000007
23,-5.0
24,-1.9000000000000004
25,-3.1999999999999997
26,-8.0
27,-2.5000000000000004
28,-6.8999999999999995
29,-5.8
30,4.7
31,0.9
32,7.0
33,-0.7999999999999995
34,0.0
35,1.7999999999999994
36,49.89999999999999
37,25.099999999999998
38,12.4
39,39.2
40,29.7
41,38.2
42,31.0
43,47.199999999999996
44,60.900000000000006
45,44.2
46,73.3
47,41.2
48,38.1
49,46.5
50,50.4
51,54.5
52,43.6
53,57.5
54,46.099999999999994
55,33.3
56,25.1
57,46.7
58,48.1
59,53.199999999999996
60,48.599999999999994
61,47.2
62,49.7
63,98.7
64,66.4
65,36.8
66,53.300000000000004
67,80.9
68,31.5
69,43.7
70,87.1
71,41.5
72,40.8
73,30.800000000000004
74,59.699999999999996
75,26.799999999999997
76,60.3
77,57.3
78,61.8
79,42.8
80,47.99999999999999
81,49.8
82,60.1
83,29.8
84,26.500000000000004
85,40.7
86,28.400000000000002
87,57.5
88,46.3
89,83.10000000000001
90,30.999999999999996
91,71.3
92,36.300000000000004
93,47.50000000000001
94,54.8
95,51.6
96,30.400000000000006
97,47.9
98,54.0
99,58.70000000000001
