,Score,Epslon,round
0,-12.48,3.216516799999996,0
1,10.46,0.01776,1
2,12.68,0.01776,2
3,28.25,0.01776,3
4,18.26,0.01776,4
5,25.09,0.01776,5
6,27.65,0.01776,6
7,27.87,0.01776,7
8,28.74,0.01776,8
