,132
0,-6.2
1,-1.6
2,-5.6000000000000005
3,-8.4
4,-5.1000000000000005
5,-5.500000000000001
6,-9.600000000000001
7,-8.6
8,-5.400000000000001
9,-7.800000000000001
10,-7.400000000000001
11,-7.8
12,-4.4
13,-4.800000000000001
14,-4.7
15,-6.6
16,-4.7
17,-0.20000000000000018
18,-5.599999999999999
19,-3.0
20,-6.900000000000001
21,-9.6
22,-8.8
23,-4.500000000000001
24,-1.5000000000000002
25,-3.4000000000000004
26,-5.1000000000000005
27,-7.4
28,-3.000000000000001
29,-1.0000000000000002
30,-4.700000000000001
31,-3.700000000000001
32,-6.0
33,-4.800000000000001
34,-5.800000000000001
35,1.0000000000000009
36,-6.300000000000001
37,-6.2
38,-3.8
39,-1.8999999999999997
40,-7.7
41,-2.2
42,-1.1
43,-1.3
44,-3.5000000000000004
45,-0.2999999999999998
46,2.220446049250313e-16
47,-3.4000000000000004
48,2.1999999999999997
49,-7.600000000000001
50,-5.1
51,5.800000000000001
52,5.1
53,7.499999999999999
54,18.7
55,0.7999999999999998
56,10.799999999999999
57,13.7
58,28.7
59,18.200000000000003
60,27.499999999999996
61,20.0
62,28.3
63,48.5
64,48.9
65,46.7
66,27.799999999999997
67,42.7
68,60.0
69,24.599999999999998
70,26.0
71,54.5
72,53.0
73,32.199999999999996
74,41.1
75,56.6
76,51.3
77,46.90000000000001
78,56.1
79,34.800000000000004
80,56.6
81,35.199999999999996
82,34.5
83,35.4
84,46.699999999999996
85,34.099999999999994
86,45.49999999999999
87,32.4
88,30.700000000000003
89,49.2
90,47.0
91,40.400000000000006
92,58.39999999999999
93,55.0
94,40.4
95,30.700000000000003
96,61.0
97,38.10000000000001
98,90.50000000000001
99,33.599999999999994
