,125
0,-6.4
1,-9.4
2,-9.2
3,-7.699999999999999
4,-6.4
5,-6.2
6,-8.2
7,-8.200000000000001
8,-6.800000000000001
9,-5.199999999999999
10,-6.3
11,-3.3
12,-10.0
13,0.4
14,-8.7
15,-3.8999999999999995
16,-5.800000000000001
17,-5.699999999999999
18,-10.200000000000001
19,2.2000000000000006
20,-5.9
21,-3.1
22,-9.4
23,-7.2
24,3.0
25,-6.9
26,-7.4
27,-6.8999999999999995
28,-6.0
29,-1.4000000000000004
30,-3.3999999999999995
31,-5.9
32,-2.3
33,4.6
34,-0.30000000000000016
35,-6.999999999999999
36,-5.3999999999999995
37,-5.3
38,-6.2
39,-9.9
40,-8.0
41,3.6999999999999993
42,-2.4
43,-3.0
44,-1.5999999999999996
45,-0.30000000000000016
46,1.3000000000000003
47,5.0
48,-6.699999999999999
49,18.0
50,11.6
51,11.599999999999998
52,19.1
53,33.300000000000004
54,12.400000000000002
55,18.8
56,14.200000000000001
57,42.099999999999994
58,17.6
59,26.799999999999997
60,40.4
61,39.800000000000004
62,34.00000000000001
63,35.300000000000004
64,17.9
65,49.9
66,44.0
67,41.0
68,47.699999999999996
69,43.6
70,50.60000000000001
71,43.0
72,36.3
73,41.099999999999994
74,73.10000000000001
75,35.699999999999996
76,47.50000000000001
77,42.89999999999999
78,61.60000000000001
79,45.900000000000006
80,49.00000000000001
81,49.30000000000001
82,39.6
83,56.300000000000004
84,47.6
85,27.799999999999997
86,53.0
87,39.10000000000001
88,70.59999999999998
89,44.0
90,61.5
91,82.7
92,69.39999999999999
93,50.599999999999994
94,51.8
95,45.2
96,36.8
97,34.4
98,72.6
99,70.1
