,79
0,-4.2
1,-9.200000000000001
2,-5.2
3,-8.3
4,-3.0
5,-2.0
6,-3.6
7,-3.400000000000001
8,-7.5
9,-9.0
10,-1.9
11,-8.200000000000001
12,-10.000000000000002
13,-7.2
14,-7.8999999999999995
15,-8.3
16,-5.2
17,-6.6000000000000005
18,-4.7
19,-7.900000000000001
20,-4.6
21,-5.100000000000001
22,-1.1
23,-1.9999999999999998
24,-6.8
25,-0.5
26,-1.2
27,-3.0
28,-2.1
29,-0.20000000000000026
30,-3.8000000000000003
31,-3.8
32,9.200000000000001
33,12.099999999999998
34,14.599999999999998
35,16.900000000000002
36,11.1
37,41.9
38,16.6
39,27.1
40,17.0
41,28.0
42,39.4
43,22.6
44,42.3
45,33.099999999999994
46,26.3
47,62.89999999999999
48,53.89999999999999
49,44.199999999999996
50,50.0
51,44.199999999999996
52,43.599999999999994
53,50.699999999999996
54,40.6
55,42.5
56,47.9
57,55.400000000000006
58,57.69999999999999
59,54.8
60,35.599999999999994
61,30.7
62,39.50000000000001
63,24.900000000000002
64,38.9
65,38.0
66,35.9
67,54.09999999999999
68,34.89999999999999
69,66.3
70,31.4
71,46.89999999999999
72,46.0
73,35.199999999999996
74,44.1
75,44.300000000000004
76,36.3
77,63.5
78,32.8
79,27.799999999999997
80,39.0
81,42.2
82,44.9
83,63.0
84,36.7
85,38.5
86,22.4
87,31.5
88,42.1
89,83.6
90,50.6
91,32.699999999999996
92,25.3
93,34.0
94,41.800000000000004
95,41.300000000000004
96,39.1
97,39.0
98,43.800000000000004
99,57.099999999999994
