,92
0,-4.800000000000001
1,-2.9000000000000004
2,-3.0
3,-8.200000000000001
4,-3.1999999999999997
5,-9.600000000000001
6,-7.700000000000002
7,-7.599999999999998
8,-10.600000000000001
9,-9.0
10,-8.000000000000002
11,-2.7
12,-6.9
13,-6.700000000000001
14,-3.8000000000000003
15,-5.0
16,-7.699999999999999
17,-3.0000000000000004
18,-3.8
19,-0.49999999999999983
20,-4.3
21,0.19999999999999996
22,0.5999999999999999
23,-3.2999999999999994
24,8.399999999999999
25,1.1
26,8.8
27,15.9
28,0.9999999999999994
29,-0.8000000000000004
30,3.6000000000000005
31,5.300000000000001
32,2.1999999999999993
33,27.4
34,13.3
35,20.299999999999994
36,31.6
37,34.89999999999999
38,36.3
39,19.200000000000003
40,40.20000000000001
41,56.9
42,14.299999999999999
43,41.50000000000001
44,35.1
45,29.6
46,41.60000000000001
47,22.2
48,33.7
49,48.099999999999994
50,40.7
51,33.8
52,51.3
53,49.099999999999994
54,68.2
55,31.2
56,56.4
57,40.5
58,20.3
59,43.8
60,33.8
61,40.2
62,38.2
63,52.7
64,28.7
65,43.1
66,41.199999999999996
67,34.6
68,69.3
69,47.699999999999996
70,49.00000000000001
71,42.400000000000006
72,36.2
73,56.199999999999996
74,27.999999999999996
75,52.300000000000004
76,37.2
77,52.4
78,70.0
79,42.199999999999996
80,65.6
81,60.59999999999999
82,46.4
83,56.199999999999996
84,67.9
85,52.6
86,34.50000000000001
87,41.699999999999996
88,39.800000000000004
89,48.8
90,26.7
91,83.5
92,55.4
93,27.6
94,56.900000000000006
95,67.6
96,53.1
97,40.699999999999996
98,34.699999999999996
99,36.39999999999999
