,Score,Epslon,round
0,-26.26,2.0170495999999956,0
1,-18.14,0.01776,1
2,-17.44,0.01776,2
3,-20.07,0.01776,3
4,-16.67,0.01776,4
5,-9.33,0.01776,5
6,-14.6,0.01776,6
7,-14.48,0.01776,7
8,-12.41,0.01776,8
