,58
0,-9.399999999999999
1,-8.100000000000001
2,-3.6000000000000005
3,-9.600000000000001
4,-10.2
5,-5.6
6,-7.2
7,-9.4
8,-3.6000000000000005
9,-8.600000000000001
10,-10.400000000000002
11,-6.5
12,-5.6000000000000005
13,-9.200000000000001
14,-10.9
15,-7.0
16,-8.0
17,-3.1000000000000005
18,-8.500000000000002
19,-4.8999999999999995
20,-6.599999999999999
21,-7.9
22,-1.8000000000000003
23,9.200000000000001
24,1.4
25,2.5999999999999996
26,13.999999999999998
27,8.8
28,7.199999999999999
29,9.100000000000001
30,20.5
31,30.700000000000003
32,25.400000000000002
33,22.3
34,19.099999999999998
35,12.3
36,37.0
37,71.89999999999999
38,78.49999999999999
39,44.3
40,49.4
41,23.0
42,30.499999999999996
43,29.100000000000005
44,44.9
45,45.699999999999996
46,29.700000000000006
47,33.4
48,41.5
49,48.699999999999996
50,39.400000000000006
51,29.400000000000002
52,45.199999999999996
53,41.400000000000006
54,32.10000000000001
55,30.299999999999997
56,23.000000000000004
57,47.50000000000001
58,70.4
59,57.599999999999994
60,41.900000000000006
61,52.0
62,36.1
63,38.7
64,41.9
65,36.300000000000004
66,32.8
67,41.9
68,33.4
69,28.0
70,47.7
71,40.699999999999996
72,46.2
73,40.0
74,26.6
75,55.00000000000001
76,68.5
77,33.39999999999999
78,60.6
79,63.1
80,37.6
81,58.39999999999999
82,59.39999999999999
83,41.3
84,97.9
85,68.2
86,78.5
87,27.1
88,30.799999999999997
89,25.999999999999996
90,30.0
91,109.10000000000001
92,45.79999999999999
93,21.2
94,37.5
95,43.8
96,48.19999999999999
97,44.300000000000004
98,32.1
99,53.9
