,110
0,-6.6000000000000005
1,-6.799999999999999
2,-7.3
3,-2.8000000000000003
4,-6.6000000000000005
5,-5.5
6,-6.2
7,-4.9
8,-6.800000000000001
9,-6.4
10,-1.3000000000000005
11,-8.6
12,0.7000000000000002
13,-1.5
14,-5.3999999999999995
15,3.1000000000000005
16,-7.799999999999999
17,-4.0
18,6.7
19,-2.0999999999999996
20,3.0
21,13.999999999999998
22,19.400000000000002
23,18.5
24,22.9
25,15.399999999999999
26,11.100000000000001
27,35.699999999999996
28,10.7
29,18.4
30,30.7
31,35.599999999999994
32,31.8
33,49.0
34,27.7
35,31.699999999999996
36,23.6
37,40.900000000000006
38,49.400000000000006
39,33.9
40,45.3
41,34.0
42,29.5
43,33.099999999999994
44,47.6
45,41.699999999999996
46,34.7
47,47.699999999999996
48,54.1
49,50.9
50,52.0
51,45.39999999999999
52,47.0
53,44.49999999999999
54,46.6
55,63.400000000000006
56,54.2
57,27.7
58,48.300000000000004
59,36.2
60,47.6
61,74.9
62,50.00000000000001
63,60.099999999999994
64,44.400000000000006
65,38.6
66,43.7
67,52.8
68,51.59999999999999
69,70.90000000000002
70,40.49999999999999
71,33.9
72,60.8
73,52.89999999999999
74,45.50000000000001
75,35.7
76,58.5
77,104.6
78,50.699999999999996
79,56.10000000000001
80,40.6
81,18.6
82,53.6
83,49.00000000000001
84,79.5
85,38.0
86,47.099999999999994
87,57.5
88,47.9
89,38.8
90,44.900000000000006
91,43.8
92,80.60000000000001
93,63.800000000000004
94,50.5
95,42.2
96,43.6
97,69.8
98,66.2
99,70.79999999999998
