,82
0,-8.6
1,-8.700000000000001
2,-5.1
3,-6.0
4,-3.0
5,-8.3
6,-6.8999999999999995
7,-5.300000000000001
8,-7.9
9,-0.5000000000000001
10,-7.6
11,-9.4
12,-7.6
13,-2.9999999999999996
14,-6.799999999999999
15,-8.4
16,-9.299999999999999
17,-7.000000000000001
18,-7.3
19,-5.300000000000001
20,1.500000000000001
21,-3.3999999999999995
22,0.4999999999999999
23,-1.4000000000000004
24,-4.4
25,-8.0
26,-5.800000000000001
27,1.1000000000000003
28,4.699999999999999
29,10.7
30,2.0
31,-5.1
32,8.8
33,2.3000000000000003
34,6.0
35,11.7
36,19.100000000000005
37,25.8
38,32.800000000000004
39,27.5
40,15.7
41,10.799999999999999
42,25.4
43,30.6
44,33.5
45,22.5
46,32.9
47,24.6
48,61.8
49,57.20000000000001
50,33.8
51,29.400000000000002
52,34.3
53,55.199999999999996
54,54.10000000000001
55,39.1
56,64.8
57,35.6
58,21.7
59,49.9
60,34.0
61,34.4
62,31.8
63,19.1
64,41.8
65,33.9
66,35.5
67,35.1
68,39.0
69,30.6
70,50.800000000000004
71,32.89999999999999
72,57.900000000000006
73,43.900000000000006
74,40.300000000000004
75,52.60000000000001
76,56.7
77,39.3
78,52.9
79,64.1
80,66.69999999999999
81,73.2
82,25.4
83,52.00000000000001
84,60.5
85,44.300000000000004
86,15.899999999999999
87,73.2
88,32.50000000000001
89,41.599999999999994
90,32.4
91,60.50000000000001
92,64.2
93,64.5
94,42.7
95,43.5
96,46.800000000000004
97,76.9
98,84.69999999999999
99,65.9
