,134
0,-6.9
1,-1.4999999999999996
2,-6.900000000000001
3,-8.0
4,-9.700000000000001
5,-6.8
6,2.8
7,-10.9
8,-5.5
9,-5.6
10,-9.000000000000002
11,-8.900000000000002
12,-6.6000000000000005
13,-7.299999999999999
14,-8.600000000000001
15,-11.400000000000002
16,-9.2
17,-9.8
18,-5.200000000000001
19,-7.600000000000001
20,0.5000000000000003
21,-4.900000000000001
22,1.1
23,-5.9
24,-4.6000000000000005
25,-4.800000000000001
26,-5.7
27,-8.1
28,-6.5
29,-10.200000000000001
30,-0.5999999999999996
31,-8.1
32,-0.3999999999999999
33,-8.5
34,-3.1
35,-2.2
36,-2.6
37,-2.400000000000001
38,-3.3000000000000003
39,-4.6000000000000005
40,-2.1000000000000005
41,-4.199999999999999
42,-8.400000000000002
43,13.900000000000002
44,1.8999999999999992
45,-5.2
46,3.0
47,3.9
48,-1.6999999999999997
49,-2.6999999999999997
50,-4.0
51,-2.2
52,0.3999999999999999
53,1.2000000000000006
54,16.599999999999998
55,30.8
56,6.3
57,12.3
58,9.3
59,11.1
60,9.1
61,23.299999999999997
62,16.2
63,23.9
64,24.200000000000003
65,19.4
66,14.199999999999998
67,32.7
68,7.6
69,27.900000000000002
70,25.799999999999997
71,39.89999999999999
72,29.1
73,38.7
74,38.300000000000004
75,55.7
76,28.700000000000003
77,54.599999999999994
78,41.699999999999996
79,24.60000000000001
80,42.599999999999994
81,32.800000000000004
82,36.300000000000004
83,44.09999999999999
84,37.9
85,58.8
86,17.7
87,48.6
88,61.39999999999999
89,40.3
90,36.199999999999996
91,43.5
92,52.300000000000004
93,69.3
94,52.800000000000004
95,34.1
96,36.800000000000004
97,42.199999999999996
98,23.100000000000005
99,37.0
