,Reward
0,-50
1,-51
2,-50
3,-50
4,-52
5,-50
6,-52
7,-51
8,-6
9,-54
10,-50
11,-51
12,-57
13,-51
14,-57
15,-32
16,-50
17,-54
18,-6
19,-50
20,-50
21,-63
22,-50
23,-52
24,-50
25,-50
26,-51
27,-56
28,-53
29,-50
30,-50
31,-53
32,-54
33,-53
34,8
35,-51
36,-50
37,-56
38,-52
39,-51
40,-52
41,-50
42,-7
43,-7
44,-56
45,-50
46,-13
47,-51
48,-51
49,-51
50,-57
51,-56
52,-55
53,-51
54,-51
55,-50
56,-64
57,-52
58,-52
59,-33
60,-37
61,-53
62,-50
63,-55
64,-48
65,-50
66,4
67,25
68,-51
69,-64
70,-21
71,-50
72,-34
73,-50
74,-50
75,-50
76,-88
77,-12
78,-6
79,-33
80,-50
81,-80
82,-63
83,-50
84,-57
85,-50
86,-50
87,-68
88,-9
89,-6
90,-30
91,10
92,-78
93,-50
94,-62
95,-50
96,-44
97,-6
98,-15
99,-15
100,-12
101,-21
102,-38
103,-36
104,-41
105,-50
106,-10
107,-28
108,-26
109,-50
110,-11
111,-50
112,-27
113,-50
114,-26
115,8
116,-37
117,-50
118,-27
119,-50
120,-34
121,-37
122,-58
123,-19
124,-21
125,-30
126,-1
127,-44
128,-50
129,-7
130,-21
131,-49
132,-20
133,-24
134,-11
135,-26
136,-50
137,-29
138,-50
139,-50
140,-50
141,-50
142,-50
143,-42
144,-16
145,-23
146,-50
147,-12
148,-50
149,2
150,-21
151,-11
152,-35
153,-50
154,-17
155,-26
156,-44
157,-15
158,-31
159,-38
160,-31
161,-11
162,-39
163,-30
164,-27
165,-44
166,-44
167,-20
168,-44
169,-8
170,-6
171,-17
172,20
173,-30
174,-50
175,-33
176,-6
177,-6
178,-16
179,-50
180,-34
181,-4
182,-28
183,-8
184,5
185,-47
186,-50
187,-50
188,-50
189,-28
190,-24
191,-23
192,-44
193,-50
194,-22
195,-50
196,-39
197,-50
198,-59
199,-9
200,-8
201,-17
202,-50
203,-44
204,35
205,-14
206,-50
207,-32
208,-30
209,-50
210,-10
211,-20
212,-50
213,-50
214,-50
215,-50
216,-13
217,-50
218,-40
219,-29
220,-1
221,-2
222,-5
223,-50
224,-18
225,-50
226,-50
227,-50
228,-42
229,6
230,-4
231,-50
232,-10
233,-21
234,-50
235,-50
236,-50
237,-25
238,-4
239,-40
240,-22
241,-11
242,-16
243,-30
244,-20
245,-44
246,3
247,-42
248,-15
249,-44
250,-44
251,-50
252,-19
253,-50
254,-10
255,-37
256,-19
257,-12
258,-50
259,-29
260,-14
261,-21
262,-31
263,-50
264,-10
265,-16
266,-50
267,-50
268,-50
269,17
270,16
271,-17
272,-50
273,-50
274,-15
275,-29
276,-52
277,-29
278,-30
279,-50
280,-50
281,-29
282,-50
283,-50
284,-50
285,-34
286,-39
287,-34
288,-55
289,-1
290,-50
291,-44
292,-50
293,-50
294,-50
295,-14
296,-13
297,-19
298,-44
299,-3
300,-50
301,-25
302,-36
303,-50
304,-38
305,-50
306,2
307,-30
308,-50
309,-10
310,-20
311,-50
312,-51
313,-25
314,-28
315,-16
316,-18
317,-50
318,-2
319,-86
320,-28
321,-21
322,-50
323,-12
324,-50
325,-27
326,-50
327,-50
328,21
329,-18
330,-50
331,-13
332,-50
333,-50
334,-50
335,-30
336,-18
337,-13
338,-12
339,-1
340,-18
341,-50
342,-11
343,-37
344,-44
345,-20
346,37
347,-31
348,-19
349,-50
350,-16
351,-50
352,9
353,-50
354,-50
355,-26
356,-50
357,19
358,-27
359,-50
360,14
361,-50
362,-6
363,-50
364,-50
365,-50
366,-22
367,-50
368,-50
369,-50
370,-15
371,-34
372,-32
373,-65
374,-1
375,-12
376,-12
377,-34
378,-25
379,-22
380,-33
381,-16
382,-25
383,-26
384,-11
385,-50
386,-72
387,-44
388,-11
389,-22
390,-50
391,-27
392,-5
393,-26
394,-6
395,-19
396,41
397,-23
398,-44
399,-6
400,-28
401,-25
402,-26
403,1
404,-31
405,-6
406,-50
407,-7
408,-12
409,11
410,-16
411,-8
412,-14
413,-44
414,-31
415,-8
416,-38
417,-33
418,-11
419,-50
420,-21
421,-50
422,-17
423,9
424,-41
425,-8
426,-36
427,-50
428,-21
429,-11
430,7
431,-29
432,-1
433,-44
434,-31
435,-44
436,-35
437,-30
438,-40
439,-50
440,-15
441,-12
442,-28
443,-29
444,0
445,10
446,-50
447,-44
448,-50
449,4
450,-44
451,-50
452,-9
453,-14
454,-30
455,-25
456,-7
457,-5
458,-50
459,-23
460,-32
461,-9
462,-1
463,-9
464,-50
465,-44
466,-10
467,-13
468,-2
469,-50
470,-13
471,-44
472,-40
473,-50
474,-25
475,-24
476,-34
477,-30
478,-50
479,-19
480,18
481,-20
482,-22
483,-44
484,-22
485,-38
486,-50
487,-40
488,-2
489,-8
490,-44
491,-40
492,-50
493,-21
494,-25
495,-27
496,-50
497,-18
498,-50
499,-26
500,-17
501,-9
502,-38
503,-9
504,-9
505,-30
506,-50
507,-8
508,-18
509,-50
510,-50
511,-10
512,-21
513,-50
514,-28
515,-28
516,-30
517,-21
518,-39
519,-50
520,-19
521,-50
522,-15
523,-40
524,-50
525,-60
526,-14
527,-38
528,-6
529,-14
530,-16
531,-50
532,11
533,-22
534,-50
535,-50
536,-50
537,-26
538,-32
539,-50
540,-50
541,-13
542,-50
543,-50
544,-50
545,-7
546,-11
547,-20
548,-44
549,-22
550,10
551,-8
552,-30
553,-25
554,-50
555,-50
556,25
557,-14
558,-8
559,-50
560,-30
561,-34
562,-18
563,-4
564,-20
565,-50
566,-16
567,-7
568,-50
569,1
570,-50
571,-26
572,4
573,-50
574,-39
575,-11
576,-12
577,-50
578,-15
579,-50
580,9
581,-50
582,-50
583,-50
584,-50
585,18
586,-19
587,-14
588,-50
589,-22
590,-26
591,-50
592,-55
593,-50
594,-43
595,-13
596,8
597,-44
598,-23
599,-15
600,-9
601,-6
602,-50
603,-30
604,-19
605,-22
606,-50
607,-50
608,-50
609,-50
610,-44
611,-29
612,36
613,-50
614,4
615,-18
616,-29
617,-50
618,-29
619,-21
620,-4
621,20
622,-50
623,-34
624,-19
625,-2
626,1
627,-9
628,-26
629,-44
630,-37
631,7
632,-13
633,-13
634,-50
635,-24
636,-9
637,-1
638,-35
639,-22
640,-17
641,-44
642,-27
643,-26
644,-44
645,-30
646,-16
647,-56
648,-17
649,-25
650,-17
651,-25
652,-12
653,-50
654,-13
655,-50
656,-18
657,-44
658,-19
659,5
660,-14
661,-50
662,-17
663,-16
664,-29
665,-37
666,-19
667,-13
668,-47
669,-34
670,-29
671,-24
672,-23
673,-37
674,-9
675,-50
676,-44
677,-37
678,-30
679,-50
680,-3
681,-1
682,10
683,-2
684,-50
685,-23
686,-14
687,-10
688,-43
689,-50
690,-6
691,-50
692,-13
693,-17
694,-39
695,-12
696,-13
697,-27
698,-50
699,-11
700,-25
701,1
702,-50
703,-50
704,-50
705,-50
706,3
707,-50
708,-37
709,-18
710,-50
711,-9
712,-20
713,-25
714,-17
715,-23
716,-18
717,-50
718,-14
719,-14
720,-3
721,-15
722,-4
723,-12
724,-50
725,-50
726,-50
727,-23
728,-26
729,-9
730,-31
731,-17
732,16
733,-11
734,-25
735,-13
736,-1
737,-50
738,-25
739,-15
740,-11
741,-50
742,-50
743,20
744,-23
745,-50
746,1
747,-33
748,-25
749,-15
750,23
751,-50
752,-44
753,-21
754,-11
755,-44
756,-1
757,12
758,-50
759,-50
760,-50
761,-22
762,-50
763,-50
764,-21
765,-12
766,-40
767,-50
768,-15
769,-14
770,-8
771,-50
772,-9
773,11
774,-17
775,-5
776,-19
777,-15
778,-50
779,-4
780,-41
781,-9
782,-50
783,-23
784,-33
785,-33
786,-15
787,-50
788,-18
789,-33
790,-50
791,-15
792,-50
793,-50
794,-34
795,-19
796,-9
797,-6
798,-25
799,4
800,-35
801,-50
802,-33
803,-22
804,-44
805,-12
806,-14
807,-50
808,-6
809,-1
810,0
811,-33
812,-50
813,-50
814,-44
815,-22
816,-50
817,-24
818,-50
819,-18
820,-36
821,-11
822,-9
823,-2
824,-24
825,-13
826,-50
827,-50
828,-44
829,-23
830,-20
831,-14
832,-19
833,-17
834,-24
835,-41
836,-25
837,-11
838,-16
839,-30
840,-50
841,-9
842,3
843,0
844,-10
845,-23
846,-17
847,-7
848,-23
849,-21
850,-35
851,-50
852,30
853,-21
854,-15
855,0
856,-41
857,-44
858,-44
859,-21
860,-50
861,19
862,-50
863,-30
864,-33
865,-41
866,-12
867,-16
868,-15
869,-3
870,-50
871,-50
872,12
873,-42
874,-30
875,-15
876,-11
877,-17
878,-21
879,-28
880,-50
881,-50
882,29
883,-50
884,-44
885,-50
886,-2
887,-44
888,-30
889,-50
890,-50
891,8
892,-43
893,-12
894,-37
895,-33
896,8
897,-16
898,-38
899,-9
900,-38
901,-50
902,-35
903,-50
904,-27
905,-50
906,1
907,-18
908,-18
909,-16
910,-20
911,-22
912,-50
913,-13
914,8
915,0
916,-50
917,-42
918,-50
919,8
920,-23
921,-38
922,-50
923,-50
924,-44
925,-11
926,-27
927,-20
928,-17
929,-22
930,-50
931,-24
932,-7
933,26
934,-50
935,-10
936,-2
937,-50
938,-50
939,-50
940,3
941,-50
942,-30
943,-15
944,-38
945,-50
946,-39
947,-50
948,-50
949,12
950,-50
951,-19
952,-26
953,-50
954,-50
955,-48
956,-38
957,-50
958,-26
959,-50
960,-20
961,-50
962,-19
963,-50
964,-50
965,-17
966,-13
967,-44
968,-20
969,-50
970,-50
971,-42
972,-21
973,-50
974,-13
975,-4
976,-25
977,-31
978,-12
979,-50
980,-15
981,49
982,-50
983,-30
984,-50
985,-50
986,-42
987,-5
988,-44
989,-34
990,-15
991,-50
992,-38
993,-18
994,-50
995,-21
996,-21
997,-44
998,-23
999,-50
