,Score,Epslon,round
0,-45.98,33.03738360569291,0
1,-42.04,10.060402616782193,1
2,-31.42,0.38173270545437243,2
3,-27.48,0.039022439447294256,3
4,-28.98,0.039022439447294256,4
5,-32.7,0.039022439447294256,5
6,-29.28,0.039022439447294256,6
7,-28.52,0.039022439447294256,7
8,-21.58,0.039022439447294256,8
9,-25.3,0.039022439447294256,9
10,-30.26,0.039022439447294256,10
11,-26.0,0.039022439447294256,11
12,-24.12,0.039022439447294256,12
13,-25.88,0.039022439447294256,13
14,-24.6,0.039022439447294256,14
15,-24.18,0.039022439447294256,15
16,-26.86,0.039022439447294256,16
17,-21.98,0.039022439447294256,17
18,-28.0,0.039022439447294256,18
19,-31.06,0.039022439447294256,19
