,73
0,-0.09999999999999942
1,-8.3
2,-4.2
3,-0.9
4,-4.2
5,-7.500000000000002
6,-7.1
7,-4.4
8,-6.300000000000001
9,-1.7000000000000006
10,-5.5
11,-10.3
12,-1.3
13,-6.7
14,-8.799999999999999
15,-4.1000000000000005
16,-8.200000000000001
17,-6.4
18,-6.8
19,-1.8000000000000003
20,-4.499999999999999
21,0.7000000000000002
22,1.4
23,13.5
24,3.1999999999999997
25,2.8999999999999995
26,-6.2
27,9.3
28,13.0
29,4.7
30,13.0
31,10.0
32,30.9
33,18.9
34,22.8
35,25.799999999999997
36,51.3
37,24.400000000000002
38,15.499999999999998
39,52.4
40,44.1
41,44.4
42,90.30000000000001
43,32.5
44,42.800000000000004
45,22.6
46,38.4
47,59.300000000000004
48,33.1
49,48.599999999999994
50,49.6
51,41.69999999999999
52,39.49999999999999
53,81.39999999999999
54,50.199999999999996
55,60.199999999999996
56,40.70000000000001
57,37.7
58,40.300000000000004
59,57.699999999999996
60,67.19999999999999
61,44.800000000000004
62,43.7
63,45.0
64,42.4
65,33.6
66,22.9
67,32.5
68,55.300000000000004
69,66.89999999999999
70,56.0
71,38.39999999999999
72,74.39999999999999
73,72.4
74,52.6
75,50.2
76,39.5
77,63.1
78,58.599999999999994
79,30.300000000000004
80,46.00000000000001
81,44.3
82,74.89999999999999
83,55.10000000000001
84,65.1
85,63.900000000000006
86,64.60000000000001
87,64.7
88,106.29999999999998
89,60.1
90,53.699999999999996
91,61.50000000000001
92,50.300000000000004
93,47.5
94,50.1
95,48.0
96,41.1
97,43.0
98,40.0
99,44.5
