,Score,Epslon,round
0,-22.939316146089624,2.8166943999999954,0
1,-26.91931915558865,0.01776,1
2,-25.993191483321265,0.01776,2
3,-25.14880306503193,0.01776,3
4,-24.065520785587715,0.01776,4
5,-20.33694105457815,0.01776,5
6,-18.572608453080903,0.01776,6
7,-17.584216457445645,0.01776,7
8,-17.85323929992178,0.01776,8
