,97
0,-5.3999999999999995
1,-6.1
2,-6.2
3,-6.0
4,-10.0
5,-6.800000000000001
6,-8.7
7,-5.300000000000001
8,-8.200000000000001
9,-8.700000000000001
10,-7.000000000000001
11,1.2999999999999998
12,-6.5
13,-2.9000000000000004
14,-2.8
15,-7.3999999999999995
16,-5.6
17,-6.8
18,-3.8
19,1.1
20,-1.5000000000000002
21,2.1
22,3.5999999999999996
23,-0.5999999999999999
24,3.1999999999999997
25,0.1999999999999995
26,-2.8000000000000003
27,-0.09999999999999998
28,5.9
29,-4.7
30,4.600000000000001
31,4.800000000000001
32,18.9
33,15.6
34,3.8000000000000003
35,9.700000000000001
36,21.299999999999997
37,7.1000000000000005
38,26.5
39,50.4
40,22.200000000000003
41,51.8
42,34.7
43,41.300000000000004
44,28.7
45,48.9
46,23.0
47,61.699999999999996
48,57.1
49,52.5
50,70.10000000000001
51,42.3
52,39.6
53,61.60000000000001
54,61.60000000000001
55,52.5
56,59.39999999999999
57,53.6
58,55.900000000000006
59,48.699999999999996
60,39.300000000000004
61,34.0
62,50.60000000000001
63,55.0
64,64.8
65,52.900000000000006
66,23.1
67,31.799999999999997
68,46.4
69,58.9
70,58.1
71,51.4
72,48.7
73,37.400000000000006
74,42.99999999999999
75,41.4
76,33.3
77,46.4
78,41.5
79,62.6
80,44.9
81,60.89999999999999
82,43.70000000000001
83,51.5
84,54.3
85,33.900000000000006
86,37.89999999999999
87,76.0
88,39.3
89,62.79999999999999
90,70.49999999999999
91,45.2
92,50.8
93,40.3
94,42.39999999999999
95,49.099999999999994
96,41.2
97,38.7
98,26.1
99,61.199999999999996
