,Reward
647,-50
648,-50
649,-36
650,-39
651,-15
652,-44
653,-7
654,-38
655,-23
656,-44
657,-50
658,6
659,-48
660,-38
661,-21
662,-8
663,-72
664,-50
665,-55
666,-8
667,-17
668,-29
669,-50
670,-33
671,-19
672,-44
673,-50
674,-20
675,-50
676,-44
677,-12
678,-50
679,-30
680,-50
681,-29
682,-9
683,-15
684,-50
685,-16
686,-50
687,-33
688,-50
689,-50
690,-50
691,15
692,-34
693,-18
694,-35
695,-50
696,-17
697,-15
698,-18
699,27
700,-30
701,-8
702,-50
703,-1
704,-28
705,-39
706,-26
707,-50
708,-50
709,-12
710,-33
711,-59
712,-20
713,-28
714,-8
715,-10
716,-41
717,-21
718,5
719,-1
720,-44
721,-50
722,-41
723,-50
724,-19
725,-33
726,-44
727,-50
728,-50
729,-27
730,-17
731,-17
732,-20
733,-5
734,-14
735,-50
736,-63
737,-21
738,-50
739,-50
740,-40
741,-21
742,-50
743,-21
744,-50
745,-50
746,-50
747,-28
748,-44
749,-14
750,-26
751,-44
752,-22
753,-30
754,-44
755,1
756,-40
757,-50
758,-39
759,-50
760,-72
761,-50
762,-50
763,-21
764,-43
765,-50
766,-11
767,-50
768,-29
769,-62
770,-50
771,-45
772,-16
773,-38
774,-72
775,-20
776,-37
777,-35
778,-27
779,-44
780,7
781,-20
782,-50
783,-26
784,15
785,-50
786,-54
787,26
788,-50
789,-25
790,-50
791,-50
792,-8
793,-44
794,-50
795,-30
796,-44
797,-31
798,-14
799,-12
800,-29
801,-44
802,-38
803,0
804,26
805,-50
806,-23
807,-27
808,-36
809,0
810,-12
811,-50
812,-50
813,-50
814,-31
815,-50
816,-16
817,-32
818,-5
819,-50
820,-72
821,-44
822,-21
823,-15
824,-19
825,6
826,-17
827,-32
828,22
829,-29
830,-29
831,-7
832,-50
833,-50
834,-20
835,-50
836,-30
837,-28
838,20
839,-24
840,4
841,-44
842,-44
843,-41
844,-30
845,-41
846,-13
847,-24
848,-29
849,-26
850,2
851,-25
852,-26
853,-33
854,-29
855,-50
856,-50
857,-50
858,-28
859,-20
860,-100
861,-50
862,-44
863,-50
864,-16
865,-13
866,-21
867,3
868,-44
869,-50
870,31
871,-9
872,-12
873,-50
874,-44
875,-9
876,-42
877,-50
878,-27
879,-16
880,-16
881,-44
882,-21
883,-14
884,-50
885,-19
886,-50
887,-41
888,-50
889,-22
890,-44
891,-50
892,2
893,-50
894,-44
895,-70
896,-16
897,-12
898,-50
899,-31
900,-2
901,-16
902,-50
903,-34
904,-52
905,-9
906,-12
907,-28
908,-50
909,-24
910,-44
911,-17
912,-43
913,-26
914,-66
915,-70
916,-27
917,-34
918,-11
919,-12
920,-21
921,-14
922,-41
923,-3
924,-44
925,-26
926,-32
927,-50
928,-40
929,-10
930,-44
931,-35
932,-20
933,-26
934,-24
935,4
936,-69
937,-50
938,-50
939,-44
940,-7
941,-25
942,-50
943,-44
944,-43
945,-50
946,-50
947,-44
948,-19
949,-10
950,-50
951,-44
952,0
953,-44
954,-27
955,-30
956,-32
957,-43
958,-18
959,-29
960,-12
961,-31
962,-50
963,-29
964,-1
965,-50
966,13
967,-11
968,-5
969,-29
970,-22
971,-33
972,8
973,-50
974,-22
975,-26
976,-19
977,-32
978,-44
979,-50
980,-44
981,-5
982,-50
983,-50
984,-36
985,-8
986,-50
987,-98
988,-13
989,-50
990,-50
991,-33
992,-12
993,-72
994,-15
995,-31
996,-44
997,-50
998,-59
999,0
1000,-50
1001,-33
1002,-44
1003,-50
1004,-50
1005,-44
1006,-72
1007,-50
1008,-50
1009,-44
1010,-50
1011,-50
1012,-50
1013,-50
1014,-11
1015,-28
1016,-44
1017,-43
1018,-23
1019,-31
1020,-29
1021,-50
1022,-8
1023,-26
1024,-69
1025,-31
1026,-44
1027,-50
1028,-50
1029,-50
1030,-50
1031,-32
1032,-19
1033,-50
1034,-27
1035,-44
1036,-27
1037,-29
1038,-19
1039,-22
1040,-5
1041,-40
1042,-20
1043,-50
1044,-50
1045,2
1046,-28
1047,-5
1048,-16
1049,-25
1050,-22
1051,-19
1052,2
1053,-44
1054,-6
1055,-50
1056,-14
1057,-11
1058,-19
1059,-19
1060,-13
1061,1
1062,-30
1063,-54
1064,-18
1065,-13
1066,-50
1067,-35
1068,-16
1069,13
1070,-50
1071,27
1072,-19
1073,-22
1074,-13
1075,-30
1076,-44
1077,-22
1078,-44
1079,-50
1080,-44
1081,-50
1082,-44
1083,61
1084,-50
1085,-50
1086,-19
1087,-44
1088,-50
1089,7
1090,-32
1091,-41
1092,-50
1093,-50
1094,-50
1095,-50
1096,-2
1097,-50
1098,-35
1099,-8
1100,-50
1101,-12
1102,-36
1103,-14
1104,-4
1105,-30
1106,-21
1107,-47
1108,-50
1109,-8
1110,-9
1111,-27
1112,-50
1113,-8
1114,-50
1115,-50
1116,-50
1117,-50
1118,-44
1119,2
1120,-12
1121,-27
1122,-11
1123,-22
1124,-12
1125,10
1126,-50
1127,-50
1128,-36
1129,-50
1130,-50
1131,-11
1132,-9
1133,-44
1134,-44
1135,-50
1136,-50
1137,-43
1138,5
1139,-10
1140,-19
1141,15
1142,-19
1143,-30
1144,-44
1145,-10
1146,-50
1147,-72
1148,-34
1149,10
1150,-12
1151,-42
1152,-50
1153,-45
1154,-50
1155,-9
1156,-17
1157,-1
1158,-19
1159,-50
1160,-9
1161,-26
1162,-65
1163,-33
1164,-50
1165,-50
1166,-50
1167,-15
1168,5
1169,-42
1170,-44
1171,-15
1172,5
1173,-16
1174,-44
1175,-24
1176,-13
1177,-6
1178,-50
1179,-44
1180,-16
1181,18
1182,-19
1183,-50
1184,-46
1185,-25
1186,-50
1187,-72
1188,-50
1189,-50
1190,-17
1191,-29
1192,-50
1193,-50
1194,-50
1195,-26
1196,8
1197,-50
1198,35
1199,-50
1200,-50
1201,-7
1202,-11
1203,-44
1204,-50
1205,-26
1206,-40
1207,-50
1208,-50
1209,-28
1210,-50
1211,2
1212,-15
1213,-19
1214,-50
1215,-27
1216,-28
1217,-18
1218,-50
1219,-69
1220,-7
1221,-15
1222,-17
1223,-25
1224,-20
1225,-13
1226,-50
1227,-44
1228,-14
1229,-23
1230,-50
1231,-50
1232,-24
1233,-35
1234,-50
1235,2
1236,-72
1237,-50
1238,-44
1239,-50
1240,-25
1241,-35
1242,-39
1243,-17
1244,-43
1245,-15
1246,-44
1247,-44
1248,-22
1249,0
1250,-31
1251,-24
1252,-15
1253,-33
1254,-17
1255,-6
1256,-50
1257,-50
1258,-21
1259,-50
1260,-50
1261,-95
1262,-50
1263,-28
1264,-20
1265,-22
1266,-44
1267,-44
1268,-38
1269,-14
1270,-35
1271,7
1272,-35
1273,-15
1274,-19
1275,-44
1276,11
1277,-16
1278,6
1279,-21
1280,-50
1281,-35
1282,-44
1283,10
1284,-23
1285,-50
1286,-39
1287,-33
1288,-50
1289,-28
1290,-50
1291,-12
1292,-72
1293,-50
1294,-22
1295,-14
1296,-13
1297,-44
1298,-22
1299,-33
1300,-23
1301,-28
1302,30
1303,-10
1304,-50
1305,-50
1306,-54
1307,-72
1308,-33
1309,-22
1310,-44
1311,-50
1312,-19
1313,-24
1314,-25
1315,-35
1316,-44
1317,-50
1318,-41
1319,-31
1320,-12
1321,-50
1322,-23
1323,-26
1324,-22
1325,-20
1326,-40
1327,-16
1328,-50
1329,-50
1330,15
1331,-50
1332,-44
1333,-9
1334,-43
1335,-27
1336,-50
1337,-23
1338,-50
1339,-44
1340,-50
1341,-50
1342,-43
1343,-28
1344,-35
1345,-9
1346,-24
1347,-12
1348,-3
1349,-44
1350,-11
1351,-32
1352,-50
1353,-6
1354,-40
1355,-18
1356,-35
1357,-30
1358,-50
1359,-19
1360,7
1361,-50
1362,-42
1363,-14
1364,-22
1365,-29
1366,-24
1367,-50
1368,-17
1369,-12
1370,-19
1371,-44
1372,-27
1373,-18
1374,-36
1375,-50
1376,-50
1377,-50
1378,2
1379,-20
1380,-25
1381,-44
1382,-36
1383,-22
1384,-16
1385,-17
1386,-25
1387,-11
1388,7
1389,-44
1390,-24
1391,-18
1392,-50
1393,-21
1394,-44
1395,-29
1396,-11
1397,-11
1398,-50
1399,-44
1400,-3
1401,-53
1402,-50
1403,-33
1404,-38
1405,-21
1406,-15
1407,-44
1408,-50
1409,-38
1410,-37
1411,-15
1412,-7
1413,-27
1414,-78
1415,-50
1416,-50
1417,-44
1418,-13
1419,-50
1420,-50
1421,-31
1422,-8
1423,-30
1424,-50
1425,-30
1426,-95
1427,-44
1428,-1
1429,-50
1430,-50
1431,-20
1432,-46
1433,-50
1434,-73
1435,-26
1436,-43
1437,-29
1438,-50
1439,-50
1440,-50
1441,-15
1442,-44
1443,-50
1444,-24
1445,-100
1446,-41
1447,6
1448,-72
1449,-50
1450,-15
1451,-44
1452,-50
1453,-25
1454,-44
1455,-34
1456,-31
1457,-50
1458,-35
1459,-40
1460,-50
1461,-50
1462,-31
1463,-12
1464,-96
1465,-15
1466,-16
1467,-50
1468,-25
1469,-44
1470,-50
1471,-12
1472,-10
1473,-21
1474,-75
1475,-17
1476,1
1477,-44
1478,-28
1479,-62
1480,-12
1481,-25
1482,-44
1483,-39
1484,-28
1485,-11
1486,-50
1487,-50
1488,-44
1489,-44
1490,-31
1491,-44
1492,-26
1493,-44
1494,-35
1495,-29
1496,-16
1497,-8
1498,-28
1499,-10
1500,-50
1501,-25
1502,-7
1503,-38
1504,-23
1505,-19
1506,-44
1507,-32
1508,-50
1509,-5
1510,-29
1511,-44
1512,-44
1513,-34
1514,-50
1515,5
1516,-2
1517,-50
1518,-50
1519,-19
1520,10
1521,-24
1522,-44
1523,-33
1524,-44
1525,-35
1526,-11
1527,-10
1528,-50
1529,-50
1530,-50
1531,-44
1532,-50
1533,-20
1534,-20
1535,-21
1536,-13
1537,-42
1538,-27
1539,-3
1540,-50
1541,-50
1542,-13
1543,-50
1544,-20
1545,-50
1546,-50
1547,-10
1548,-5
1549,-44
1550,-9
1551,-33
1552,-68
1553,-50
1554,-35
1555,-50
1556,-44
1557,-56
1558,-50
1559,-44
1560,-45
1561,-50
1562,-16
1563,-50
1564,3
1565,-18
1566,-50
1567,-24
1568,-44
1569,10
1570,-18
1571,-50
1572,-50
1573,-36
1574,-44
1575,-44
1576,-31
1577,-72
1578,-50
1579,-50
1580,-4
1581,-50
1582,-24
1583,-12
1584,-19
1585,-27
1586,-44
1587,-43
1588,-50
1589,-44
1590,-7
1591,-51
1592,-24
1593,-28
1594,-38
1595,-19
1596,-14
1597,-17
1598,-23
1599,-50
1600,-50
1601,-44
1602,-16
1603,-8
1604,-50
1605,-22
1606,-50
1607,-50
1608,-50
1609,-16
1610,-11
1611,-29
1612,-30
1613,16
1614,-50
1615,-44
1616,4
1617,-44
1618,-14
1619,-35
1620,-50
1621,-34
1622,-19
1623,-51
1624,-50
1625,-33
1626,-14
1627,-50
1628,-12
1629,-50
1630,-44
1631,-19
1632,-51
1633,-50
1634,-50
1635,-44
1636,-62
1637,-50
1638,-50
1639,-44
1640,-20
1641,-50
1642,-50
1643,-50
1644,-9
1645,-57
1646,8
1647,-50
1648,-19
1649,-50
1650,-44
1651,-44
1652,-36
1653,-21
1654,-35
1655,-44
1656,-50
1657,1
1658,-44
1659,-21
1660,-50
1661,-44
1662,0
1663,-14
1664,-50
1665,-50
1666,-100
1667,-50
1668,-44
1669,-16
1670,-16
1671,-47
1672,-50
1673,-39
1674,-72
1675,-44
1676,-42
1677,-20
1678,-50
1679,-50
1680,-20
1681,-24
1682,-11
1683,-44
1684,4
1685,-37
1686,-26
1687,-50
1688,-49
1689,-19
1690,0
1691,-27
1692,-50
1693,-50
1694,-13
1695,-26
1696,-21
1697,-50
1698,-20
1699,-19
1700,-50
1701,-37
1702,16
1703,-27
1704,-22
1705,-35
1706,-41
1707,40
1708,-50
1709,-50
1710,-27
1711,-44
1712,-30
1713,-50
1714,-10
1715,-43
1716,-14
1717,-21
1718,-8
1719,-50
1720,-50
1721,-25
1722,-9
1723,-50
1724,-50
1725,-9
1726,-44
1727,-37
1728,-50
1729,-50
1730,-10
1731,-44
1732,-50
1733,-22
1734,-14
1735,-1
1736,-50
1737,-23
1738,-15
1739,-2
1740,-44
1741,-50
1742,-72
1743,2
1744,-14
1745,-7
1746,-72
1747,-50
1748,-27
1749,-21
1750,-44
1751,-32
1752,-50
1753,-44
1754,-37
1755,12
1756,-21
1757,-40
1758,-44
1759,-40
1760,-14
1761,-24
1762,-51
1763,-10
1764,-24
1765,-100
1766,-50
1767,-50
1768,-50
1769,-19
1770,-44
1771,-72
1772,-50
1773,0
1774,-44
1775,-50
1776,-50
1777,-50
1778,-14
1779,-44
1780,-35
1781,-44
1782,-72
1783,-42
1784,14
1785,-3
1786,-71
1787,-50
1788,-50
1789,-44
1790,3
1791,-44
1792,-13
1793,-13
1794,-38
1795,-50
1796,-3
1797,-37
1798,18
1799,6
1800,-44
1801,-15
1802,-50
1803,-26
1804,-44
1805,-50
1806,-49
1807,-60
1808,-13
1809,-44
1810,-1
1811,-66
1812,-21
1813,-32
1814,-50
1815,-50
1816,6
1817,-50
1818,3
1819,-50
1820,-44
1821,-14
1822,-44
1823,-128
1824,-34
1825,-50
1826,-5
1827,-35
1828,-18
1829,-10
1830,-24
1831,-2
1832,-14
1833,-44
1834,-78
1835,-19
1836,-25
1837,-18
1838,-50
1839,-72
1840,-18
1841,-50
1842,-13
1843,-28
1844,-44
1845,-22
1846,-100
1847,-25
1848,-23
1849,-100
1850,-44
1851,-50
1852,-50
1853,-50
1854,-50
1855,-50
1856,-13
1857,-50
1858,-42
1859,-7
1860,-44
1861,-50
1862,-44
1863,-16
1864,-35
1865,-37
1866,-50
1867,25
1868,-20
1869,-67
1870,-33
1871,-50
1872,-28
1873,-34
1874,-39
1875,-9
1876,-50
1877,-44
1878,-6
1879,-50
1880,-50
1881,-79
1882,-50
1883,-1
1884,-50
1885,-8
1886,-2
1887,-50
1888,-22
1889,-62
1890,-50
1891,-72
1892,-50
1893,-50
1894,-44
1895,-72
1896,-44
1897,-50
1898,-41
1899,-50
1900,-44
1901,-50
1902,-50
1903,-50
1904,-44
1905,-50
1906,-21
1907,-34
1908,-50
1909,-6
1910,-50
1911,-11
1912,-4
1913,5
1914,-34
1915,-50
1916,-50
1917,-50
1918,-21
1919,-14
1920,-50
1921,-12
1922,-40
1923,-32
1924,-50
1925,-24
1926,-44
1927,3
1928,-24
1929,-21
1930,-8
1931,-32
1932,-39
1933,-44
1934,-1
1935,-44
1936,-19
1937,-50
1938,-44
1939,-16
1940,-50
1941,-10
1942,-66
1943,-50
1944,7
1945,-39
1946,-25
1947,-40
1948,-44
1949,-17
1950,-50
1951,-10
1952,-44
1953,-11
1954,-50
1955,-50
1956,-50
1957,-3
1958,-10
1959,-16
1960,-50
1961,-30
1962,-50
1963,-50
1964,-50
1965,-41
1966,4
1967,-32
1968,-16
1969,-7
1970,-44
1971,-44
1972,-44
1973,-30
1974,-50
1975,-44
1976,-31
1977,-44
1978,-44
1979,11
1980,-17
1981,-50
1982,-2
1983,-40
1984,-50
1985,-44
1986,-26
1987,-50
1988,-44
1989,-13
1990,-50
1991,-50
1992,-44
1993,-37
1994,9
1995,-33
1996,-50
1997,-50
1998,-50
1999,-31
2000,-50
2001,-56
2002,-50
2003,-44
2004,-50
2005,-50
2006,-19
2007,-44
2008,-50
2009,-34
2010,-55
2011,-16
2012,8
2013,-50
2014,-50
2015,-10
2016,-50
2017,-23
2018,-31
2019,-23
2020,-44
2021,-72
2022,-39
2023,-24
2024,10
2025,-25
2026,-20
2027,6
2028,-50
2029,-50
2030,-9
2031,19
2032,-18
2033,-23
2034,-24
2035,-32
2036,-20
2037,-35
2038,-50
2039,-11
2040,-72
2041,-32
2042,-33
2043,49
2044,-8
2045,-50
2046,-50
2047,-34
2048,-15
2049,-50
2050,-38
2051,-50
2052,-7
2053,-44
2054,-14
2055,-19
2056,12
2057,-35
2058,-9
2059,-8
2060,-50
2061,-13
2062,-43
2063,-50
2064,-44
2065,-18
2066,-32
2067,-26
2068,-50
2069,-23
2070,-44
2071,-2
2072,-25
2073,-18
2074,-47
2075,-50
2076,-44
2077,-28
2078,-30
2079,-50
2080,-50
2081,-12
2082,-38
2083,-50
2084,-30
2085,-26
2086,-13
2087,-23
2088,-32
2089,-44
2090,-9
2091,-22
2092,-82
2093,-36
2094,-26
2095,-32
2096,-50
2097,-40
2098,-50
2099,-34
2100,-10
2101,-44
2102,-44
2103,-21
2104,-50
2105,-54
2106,-44
2107,-50
2108,-50
2109,-44
2110,-50
2111,-44
2112,-9
2113,-44
2114,-50
2115,-26
2116,-40
2117,-50
2118,-50
2119,-24
2120,-83
2121,-43
2122,-50
2123,-44
2124,-3
2125,-50
2126,-50
2127,-24
2128,-28
2129,-9
2130,-3
2131,-14
2132,-13
2133,-50
2134,-33
2135,-23
2136,-50
2137,-44
2138,5
2139,-27
2140,-44
2141,-50
2142,24
2143,-50
2144,-44
2145,-37
2146,-29
2147,-50
2148,-100
2149,-44
2150,-50
2151,-47
2152,7
2153,-50
2154,-50
2155,-20
2156,-44
2157,-44
2158,-44
2159,-50
2160,-72
2161,-72
2162,-20
2163,-18
2164,11
2165,-84
2166,-41
2167,-50
2168,-50
2169,-50
2170,1
2171,20
2172,-18
2173,-50
2174,-50
2175,-12
2176,-15
2177,-50
2178,-32
2179,-36
2180,-53
2181,-21
2182,-44
2183,-44
2184,-22
2185,-50
2186,16
2187,-44
2188,-18
2189,-50
2190,-21
2191,-44
2192,-42
2193,-10
2194,-14
2195,-5
2196,-44
2197,-12
2198,-40
2199,1
2200,-35
2201,-21
2202,-72
2203,-44
2204,-72
2205,-44
2206,-50
2207,-26
2208,-18
2209,-50
2210,-13
2211,-7
2212,-32
2213,-32
2214,-3
2215,-50
2216,-50
2217,-22
2218,-31
2219,-49
2220,-50
2221,-29
2222,-100
2223,-44
2224,-2
2225,-44
2226,-33
2227,-50
2228,-39
2229,-8
2230,-44
2231,-22
2232,-50
2233,-50
2234,-3
2235,-50
2236,-80
2237,-50
2238,-50
2239,-20
2240,-30
2241,-55
2242,51
2243,-72
2244,-26
2245,-17
2246,-38
2247,-93
2248,-50
2249,-44
2250,-50
2251,7
2252,9
2253,-50
2254,-22
2255,-18
2256,-32
2257,-50
2258,-18
2259,-10
2260,-50
2261,-36
2262,-68
2263,-34
2264,-50
2265,-39
2266,-44
2267,-15
2268,-19
2269,-50
2270,-44
2271,-28
2272,-21
2273,-34
2274,18
2275,-17
2276,-4
2277,-50
2278,-19
2279,-12
2280,-44
2281,-50
2282,-26
2283,-18
2284,-26
2285,-50
2286,-50
2287,-64
2288,-14
2289,-21
2290,-26
2291,-14
2292,-44
2293,-7
2294,-50
2295,-25
2296,-20
2297,-17
2298,-23
2299,4
2300,-12
2301,-22
2302,-58
2303,-43
2304,-40
2305,-70
2306,-13
2307,-50
2308,-13
2309,4
2310,-36
2311,-5
2312,-14
2313,-23
2314,-14
2315,-21
2316,-18
2317,-38
2318,-57
2319,-50
2320,-44
2321,-29
2322,15
2323,-36
2324,-50
2325,-50
2326,-50
2327,-37
2328,-43
2329,-20
2330,-35
2331,-27
2332,-50
2333,-34
2334,-21
2335,-25
2336,-21
2337,-50
2338,-25
2339,-17
2340,5
2341,-31
2342,-32
2343,-50
2344,-50
2345,-50
2346,-36
2347,-13
2348,-35
2349,5
2350,-27
2351,-15
2352,-50
2353,-31
2354,-61
2355,-27
2356,-25
2357,-18
2358,-24
2359,-24
2360,-44
2361,-50
2362,18
2363,-50
2364,-34
2365,-44
2366,-50
2367,-90
2368,-21
2369,-44
2370,-71
2371,-25
2372,-44
2373,77
2374,-19
2375,-31
2376,-12
2377,-14
2378,-24
2379,-50
2380,-44
2381,-44
2382,-125
2383,-126
2384,-18
2385,-27
2386,-34
2387,-56
2388,-10
2389,-37
2390,0
2391,-21
2392,-58
2393,-6
2394,-21
2395,-11
2396,-50
2397,-44
2398,-48
2399,-50
2400,-10
2401,-41
2402,-38
2403,-50
2404,-72
2405,-50
2406,-17
2407,-44
2408,-19
2409,-50
2410,-19
2411,-50
2412,-38
2413,-32
2414,-31
2415,-23
2416,-28
2417,-50
2418,-50
2419,-16
2420,-42
2421,-50
2422,-14
2423,-35
2424,-50
2425,-35
2426,-50
2427,-21
2428,-38
2429,-50
2430,-18
2431,-50
2432,-24
2433,-28
2434,-44
2435,-100
2436,-24
2437,-20
2438,-24
2439,-42
2440,-40
2441,-37
2442,-50
2443,-18
2444,-50
2445,-14
2446,-50
2447,-50
2448,-21
2449,-40
2450,-28
2451,-17
2452,-50
2453,-49
2454,-30
2455,-21
2456,-72
2457,-18
2458,-16
2459,-50
2460,-12
2461,-44
2462,-25
2463,-41
2464,-44
2465,-44
2466,32
2467,-50
2468,-23
2469,-44
2470,-13
2471,-27
2472,-50
2473,-28
2474,-8
2475,-28
2476,-33
2477,-25
2478,-44
2479,-44
2480,-21
2481,15
2482,-50
2483,-11
2484,-19
2485,-22
2486,-72
2487,-30
2488,-21
2489,-18
2490,-50
2491,-7
2492,-38
2493,-42
2494,-50
2495,-44
2496,-46
2497,19
2498,-50
2499,3
