,Score,Epslon,round
0,-46.74,29.380446332407136,0
1,-42.0,8.249461702214468,1
2,-27.28,0.39151352654692523,2
3,-29.24,0.039022439447294256,3
4,-33.06,0.039022439447294256,4
5,-32.6,0.039022439447294256,5
6,-34.62,0.039022439447294256,6
7,-32.18,0.039022439447294256,7
8,-32.32,0.039022439447294256,8
9,-29.64,0.039022439447294256,9
10,-30.14,0.039022439447294256,10
11,-29.48,0.039022439447294256,11
12,-33.24,0.039022439447294256,12
13,-34.18,0.039022439447294256,13
14,-27.38,0.039022439447294256,14
15,-35.84,0.039022439447294256,15
16,-28.2,0.039022439447294256,16
17,-28.46,0.039022439447294256,17
18,-31.96,0.039022439447294256,18
19,-29.54,0.039022439447294256,19
20,-40.0,0.039022439447294256,20
21,-23.8,0.039022439447294256,21
22,-29.66,0.039022439447294256,22
23,-28.52,0.039022439447294256,23
24,-30.32,0.039022439447294256,24
25,-32.74,0.039022439447294256,25
26,-30.48,0.039022439447294256,26
27,-29.1,0.039022439447294256,27
28,-31.08,0.039022439447294256,28
29,-39.84,0.039022439447294256,29
30,-29.92,0.039022439447294256,30
31,-33.12,0.039022439447294256,31
32,-31.34,0.039022439447294256,32
33,-37.38,0.039022439447294256,33
34,-31.04,0.039022439447294256,34
35,-30.32,0.039022439447294256,35
36,-35.4,0.039022439447294256,36
37,-37.72,0.039022439447294256,37
38,-38.0,0.039022439447294256,38
39,-29.74,0.039022439447294256,39
40,-36.1,0.039022439447294256,40
41,-26.2,0.039022439447294256,41
42,-34.22,0.039022439447294256,42
43,-35.9,0.039022439447294256,43
44,-33.5,0.039022439447294256,44
45,-34.62,0.039022439447294256,45
46,-29.28,0.039022439447294256,46
47,-29.72,0.039022439447294256,47
48,-34.26,0.039022439447294256,48
49,-36.68,0.039022439447294256,49
50,-29.44,0.039022439447294256,50
