,100
0,-8.1
1,-9.9
2,-7.800000000000001
3,-10.6
4,-8.4
5,-0.8000000000000007
6,-6.0
7,-3.8
8,-3.6000000000000005
9,-0.8999999999999998
10,-5.200000000000001
11,-5.200000000000001
12,-3.2
13,-7.3999999999999995
14,-2.9
15,-5.5
16,-8.9
17,-3.5999999999999996
18,-6.0
19,-0.2999999999999994
20,-6.4
21,-6.7
22,-1.6999999999999997
23,-3.3
24,7.1
25,6.3
26,0.9000000000000002
27,6.5
28,12.799999999999999
29,20.699999999999996
30,12.9
31,23.900000000000002
32,25.4
33,23.700000000000003
34,29.199999999999996
35,33.2
36,42.199999999999996
37,31.700000000000003
38,25.6
39,45.599999999999994
40,22.0
41,37.099999999999994
42,37.699999999999996
43,37.5
44,42.2
45,53.8
46,41.3
47,43.900000000000006
48,47.2
49,60.099999999999994
50,24.099999999999998
51,51.7
52,43.3
53,59.2
54,55.10000000000001
55,48.0
56,44.49999999999999
57,65.3
58,56.2
59,57.3
60,50.699999999999996
61,62.5
62,44.5
63,69.7
64,58.60000000000001
65,27.4
66,58.5
67,34.6
68,38.50000000000001
69,35.599999999999994
70,34.8
71,60.099999999999994
72,40.3
73,37.99999999999999
74,48.2
75,37.2
76,40.400000000000006
77,43.7
78,32.7
79,50.19999999999999
80,45.99999999999999
81,46.5
82,61.4
83,41.1
84,46.2
85,35.1
86,28.9
87,44.099999999999994
88,46.3
89,46.900000000000006
90,45.699999999999996
91,40.7
92,78.0
93,46.800000000000004
94,48.4
95,39.1
96,45.49999999999999
97,44.800000000000004
98,52.599999999999994
99,45.699999999999996
