,45
0,-2.1000000000000005
1,-3.8
2,1.2000000000000002
3,-8.200000000000001
4,-4.199999999999999
5,-6.1
6,-4.3
7,-7.199999999999999
8,-7.2
9,-2.0999999999999996
10,-1.4
11,-1.3000000000000005
12,-6.5
13,-6.599999999999999
14,0.8999999999999999
15,-3.6000000000000005
16,2.2000000000000006
17,-0.8999999999999999
18,5.3
19,5.500000000000002
20,9.2
21,4.5
22,1.4
23,9.6
24,7.199999999999999
25,16.700000000000003
26,4.999999999999999
27,17.6
28,45.80000000000001
29,35.1
30,23.2
31,24.5
32,25.5
33,30.499999999999996
34,40.1
35,41.5
36,27.799999999999997
37,66.0
38,29.499999999999996
39,43.6
40,64.5
41,57.49999999999999
42,52.6
43,67.49999999999999
44,48.6
45,35.0
46,36.300000000000004
47,44.0
48,44.199999999999996
49,41.2
50,39.900000000000006
51,40.8
52,23.4
53,40.8
54,64.4
55,59.2
56,53.699999999999996
57,49.5
58,17.8
59,55.9
60,16.9
61,49.5
62,47.29999999999999
63,44.4
64,49.70000000000001
65,32.699999999999996
66,45.800000000000004
67,34.9
68,46.400000000000006
69,46.60000000000001
70,48.2
71,40.89999999999999
72,33.699999999999996
73,45.49999999999999
74,29.1
75,50.900000000000006
76,68.6
77,52.1
78,26.4
79,73.39999999999999
80,50.4
81,64.6
82,40.0
83,39.400000000000006
84,32.5
85,56.50000000000001
86,51.49999999999999
87,58.10000000000001
88,25.7
89,32.8
90,40.9
91,39.699999999999996
92,68.4
93,48.2
94,91.60000000000001
95,53.5
96,47.300000000000004
97,37.699999999999996
98,44.099999999999994
99,25.500000000000004
