,72
0,-8.0
1,-7.1000000000000005
2,-4.9
3,-8.8
4,-5.899999999999999
5,-5.800000000000001
6,-9.0
7,-5.3999999999999995
8,-2.0
9,-10.1
10,-8.9
11,-8.6
12,-7.000000000000001
13,-3.5999999999999996
14,-4.4
15,-2.7000000000000006
16,-4.300000000000001
17,-3.8000000000000007
18,-4.8999999999999995
19,-4.8
20,-6.500000000000001
21,-6.8999999999999995
22,-1.2000000000000006
23,-5.1
24,-0.20000000000000062
25,0.6
26,1.4
27,-2.0
28,-4.8
29,7.6000000000000005
30,0.19999999999999973
31,14.899999999999999
32,11.899999999999999
33,14.9
34,21.2
35,30.200000000000003
36,26.599999999999998
37,12.799999999999997
38,38.3
39,29.900000000000002
40,46.0
41,27.4
42,46.4
43,28.500000000000007
44,43.400000000000006
45,62.4
46,22.6
47,42.800000000000004
48,32.099999999999994
49,34.7
50,38.5
51,37.9
52,28.900000000000006
53,41.7
54,47.099999999999994
55,35.9
56,61.8
57,34.4
58,49.199999999999996
59,45.99999999999999
60,29.000000000000007
61,50.300000000000004
62,30.7
63,49.2
64,40.300000000000004
65,43.2
66,49.199999999999996
67,46.4
68,33.5
69,44.199999999999996
70,37.1
71,54.60000000000001
72,38.400000000000006
73,25.6
74,51.4
75,37.099999999999994
76,31.1
77,34.00000000000001
78,49.50000000000001
79,46.60000000000001
80,47.1
81,36.7
82,31.3
83,50.60000000000001
84,52.699999999999996
85,31.800000000000004
86,40.099999999999994
87,36.3
88,83.6
89,50.1
90,33.6
91,37.599999999999994
92,65.0
93,34.400000000000006
94,31.2
95,66.3
96,40.800000000000004
97,33.7
98,32.699999999999996
99,60.400000000000006
