,160
0,-4.4
1,-5.6
2,-6.3
3,-4.1
4,-6.6
5,-7.1
6,-6.200000000000001
7,-6.6000000000000005
8,-8.8
9,-7.5
10,-7.800000000000001
11,-5.0
12,-7.6
13,-5.3999999999999995
14,-4.6
15,-4.3999999999999995
16,1.2
17,-5.0
18,-4.8
19,-10.299999999999999
20,-8.1
21,-5.0
22,-7.0
23,-9.8
24,-5.4
25,-5.300000000000002
26,-3.6000000000000005
27,-6.6000000000000005
28,-3.1000000000000005
29,-5.3999999999999995
30,-4.4
31,-4.500000000000001
32,-1.9000000000000004
33,-5.700000000000001
34,1.5999999999999999
35,-8.299999999999999
36,-3.2
37,-5.199999999999999
38,-6.4
39,-6.100000000000001
40,-6.2
41,0.3000000000000002
42,-7.0
43,-4.699999999999999
44,-5.2
45,-8.2
46,-4.000000000000001
47,-5.6
48,-2.7000000000000006
49,-3.9
50,-5.6000000000000005
51,7.4
52,0.20000000000000007
53,-5.8
54,-1.6000000000000005
55,11.0
56,0.30000000000000104
57,5.300000000000001
58,2.8999999999999995
59,-2.7
60,0.20000000000000018
61,13.599999999999998
62,17.199999999999996
63,9.4
64,32.8
65,42.800000000000004
66,33.5
67,26.299999999999997
68,33.9
69,20.3
70,31.6
71,40.70000000000001
72,43.800000000000004
73,47.7
74,37.7
75,45.3
76,84.3
77,50.3
78,48.7
79,44.8
80,41.599999999999994
81,40.4
82,39.1
83,53.8
84,40.5
85,30.7
86,47.6
87,45.89999999999999
88,59.599999999999994
89,49.10000000000001
90,39.199999999999996
91,40.9
92,45.9
93,60.7
94,54.400000000000006
95,39.6
96,66.39999999999999
97,66.8
98,42.6
99,41.0
