,Score,Epslon,round
0,-33.42,1.2174047999999957,0
1,-29.94,0.01776,1
2,-27.27,0.01776,2
3,-28.3,0.01776,3
4,-36.04,0.01776,4
5,-29.12,0.01776,5
6,-32.55,0.01776,6
7,-30.07,0.01776,7
8,-33.1,0.01776,8
