,183
0,-9.799999999999999
1,-8.5
2,-5.600000000000001
3,-6.8999999999999995
4,-3.3999999999999995
5,-8.4
6,-8.4
7,-4.199999999999999
8,-2.220446049250313e-16
9,-8.3
10,-3.4999999999999996
11,-10.200000000000001
12,-0.8000000000000003
13,-1.4
14,-3.6999999999999993
15,-2.4000000000000004
16,-3.4
17,-4.700000000000001
18,-8.100000000000001
19,-2.1
20,-0.6000000000000001
21,-0.10000000000000009
22,9.9
23,5.5
24,16.199999999999996
25,9.099999999999998
26,10.599999999999998
27,6.799999999999999
28,6.800000000000001
29,6.2
30,8.3
31,24.200000000000006
32,16.5
33,14.399999999999999
34,20.799999999999997
35,11.100000000000001
36,30.599999999999998
37,28.400000000000002
38,27.7
39,20.099999999999998
40,32.2
41,30.200000000000003
42,38.900000000000006
43,35.2
44,37.599999999999994
45,44.9
46,34.0
47,33.00000000000001
48,62.400000000000006
49,40.1
50,31.3
51,46.400000000000006
52,39.9
53,65.6
54,53.8
55,41.5
56,49.400000000000006
57,69.5
58,38.800000000000004
59,57.199999999999996
60,40.0
61,61.30000000000001
62,62.49999999999999
63,47.6
64,33.1
65,55.5
66,33.7
67,39.099999999999994
68,77.3
69,49.19999999999999
70,49.4
71,43.0
72,58.2
73,46.300000000000004
74,67.80000000000001
75,43.7
76,54.5
77,47.400000000000006
78,28.2
79,74.1
80,50.9
81,38.099999999999994
82,19.0
83,30.1
84,54.199999999999996
85,70.5
86,53.7
87,64.69999999999999
88,48.099999999999994
89,50.7
90,42.3
91,50.79999999999999
92,57.699999999999996
93,59.4
94,59.89999999999999
95,57.300000000000004
96,41.70000000000001
97,37.9
98,46.900000000000006
99,48.0
